osm_id,unity_world_x,unity_world_z,altura_m,nombre
91927762,1894.486,8235.355,6.4,Jasokundeko Andre Mariaren eliza
102837531,1709.941,8146.368,6.4,Burunda frontoia
102837568,1784.717,8130.922,6.4,Iortia
103170821,1917.461,9246.268,6.4,Altsasu BHI
103171607,2029.17,9301.933,6.4,Aralarko Mikel Donea
103486726,2223.675,8270.232,6.4,Txioka
103486727,2183.164,8294.063,6.4,Otadiko Kristoaren baseliza
103528495,1495.284,8368.422,6.4,
103530809,1453.879,8511.772,6.4,
103531483,1411.842,8552.408,6.4,Atabo
103561441,1363.289,8551.542,6.4,
103561447,1383.286,8569.493,6.4,Zelandi frontoia
103563090,1425.157,8683.15,6.4,CIP FP Sakana LH
103563249,1467.582,8646.757,6.4,Albergue juvenil Santo Cristo de Otadia
103565588,1472.72,8290.31,6.4,Constantino Salinas
103571626,1911.646,8200.001,6.4,Kiosko
200577846,1540.137,8108.703,6.4,
200578084,1463.417,8098.569,6.4,Intxostiapunta
242585217,1432.878,7878.851,6.4,
242585218,1456.897,7872.846,6.4,
297053428,1718.051,8125.508,12.8,
297055048,1696.719,8126.087,6.4,
297055050,1686.417,8144.841,6.4,
297055051,1676.51,8171.575,9.6,
297055411,1660.472,8195.657,9.6,
297057684,1621.038,8140.778,12.8,
297057690,1963.749,8085.011,6.4,Altsasuko Gaztetxea
297060217,2296.765,8268.498,6.4,
297060220,2475.674,9248.346,6.4,Igerilekuak
297063533,3016.798,10146.908,6.4,Ermita de San Pedro
297067224,1653.1,8212.729,9.6,
297067225,1661.87,8218.257,9.6,
297067226,1684.53,8209.507,9.6,
297067227,1702.376,8220.453,6.4,
297067228,1716.724,8222.624,6.4,
297067229,1725.822,8222.368,9.6,
297067230,1731.06,8233.196,9.6,
297067231,1743.215,8236.661,9.6,
297071824,1746.464,8227.475,6.4,
297071827,1754.45,8221.757,6.4,
297071829,1753.39,8213.562,6.4,
297071831,1769.027,8218.869,9.6,
297071837,1775.132,8211.453,9.6,
297071839,1780.779,8205.88,9.6,
297071840,1793.048,8207.549,9.6,
297071841,1800.942,8216.208,6.4,
297071842,1797.438,8197.149,9.6,
297071843,1803.979,8195.52,6.4,
297071844,1817.128,8196.286,9.6,
297076420,1834.486,8184.019,12.8,
297076423,1834.399,8176.834,12.8,
297076433,1827.257,8145.877,9.6,
297076438,1859.184,8126.979,9.6,
297076441,1875.526,8126.838,9.6,Lavadero
297082259,1699.953,8181.162,9.6,
297082260,1707.7,8210.042,6.4,Iker eta Felix harategia
297082261,1734.703,8193.836,12.8,
297085420,1819.414,8178.681,9.6,
297085424,2058.305,8189.251,6.4,
297085425,2058.177,8196.258,6.4,
297085426,2056.464,8213.105,6.4,
297085427,2040.431,8208.956,6.4,
297085430,2051.917,8215.605,6.4,
297085431,2054.753,8179.98,6.4,
297085432,2069.911,8184.929,6.4,
297086963,2082.188,8191.837,6.4,
297092152,2032.298,8173.028,9.6,
297092153,2035.319,8167.375,9.6,
297092154,2040.815,8148.127,6.4,
297092155,2047.445,8159.918,6.4,
297092156,2050.514,8152.455,6.4,
297092157,2054.506,8145.504,6.4,
297092158,2081.894,8142.171,6.4,
297092162,2116.088,8173.529,6.4,
297092163,2138.632,8182.727,6.4,
297094485,2019.568,8188.359,6.4,
297094486,2023.309,8181.022,6.4,
297094752,2010.423,8179.384,6.4,
297097880,2023.113,8219.779,6.4,
297097881,2029.739,8228.422,6.4,
297097882,2043.651,8237.175,6.4,
297097886,2027.669,8260.083,3.2,
297097887,2043.396,8301.498,9.6,
297097888,2097.386,8313.752,9.6,
297097889,2066.271,8306.004,9.6,
297100824,2022.018,8231.449,6.4,
297100827,2018.803,8237.104,6.4,
297100829,2015.648,8245.717,6.4,
297100832,2006.185,8250.749,6.4,
297100834,2005.627,8259.333,9.6,
297100837,2001.79,8283.28,6.4,
297100840,2010.759,8284.243,9.6,
297100842,2018.992,8288.683,6.4,
297100843,2027.44,8297.016,6.4,
297100855,1983.575,8268.698,9.6,
297100858,1985.315,8250.504,6.4,
297100861,1988.07,8243.365,6.4,
297100864,1989.654,8235.509,6.4,
297102366,1985.918,8223.405,6.4,
297102367,1994.606,8208.118,6.4,
297102368,2004.823,8206.51,6.4,
297102369,2000.244,8212.405,6.4,
297102370,1993.505,8229.687,6.4,
297102371,1994.541,8222.873,6.4,
297102372,1996.874,8217.651,6.4,
297102373,1975.085,8220.954,6.4,
297102376,1902.602,8233.043,6.4,
297102377,1918.726,8219.879,9.6,
297103561,1953.984,8186.901,22.4,
297103608,1900.788,8173.725,6.4,Gure Etxea
297107848,1840.838,8105.247,6.4,
297113463,2137.936,9287.275,6.4,
297139662,1926.764,8209.384,6.4,
297139663,1932.223,8199.711,6.4,
297142263,1938.083,8209.744,6.4,
297142264,1939.83,8214.472,6.4,
297142265,1944.561,8220.125,6.4,
297142266,1952.349,8224.781,6.4,
297142267,1965.418,8225.407,6.4,
297142268,1984.865,8195.896,6.4,
297142269,1986.438,8188.65,6.4,
297142270,1987.969,8182.571,6.4,
297142271,1997.861,8162.19,6.4,
297143822,1984.854,8155.148,6.4,
297143823,1987.732,8148.319,6.4,
297143825,1958.871,8178.416,6.4,
297143826,1940.926,8187.641,6.4,
297144836,1919.6,8166.846,6.4,
297144837,1925.17,8170.839,6.4,
297144838,1946.966,8179.317,6.4,
297144840,1948.824,8171.383,6.4,
297144841,1954.841,8161.26,6.4,
297144842,1959.788,8154.983,6.4,S.C.D.R Lagun Onak
297145359,1892.241,8190.817,6.4,
297145360,1889.706,8200.684,6.4,
297145361,1877.052,8193.42,6.4,Zubeztia
297145362,1854.874,8207.813,12.8,
297145363,1861.549,8201.53,12.8,
297145824,1844.51,8208.048,6.4,
297145825,1847.746,8199.359,6.4,
297145826,1853.482,8190.076,6.4,
297145827,1832.642,8215.907,6.4,
297145828,1842.472,8224.212,6.4,
297145829,1849.811,8224.062,6.4,
297145830,1849.062,8229.819,6.4,
297146107,1857.65,8259.75,9.6,
297146108,1851.144,8270.329,6.4,
297146109,1847.351,8278.312,6.4,
297146664,1835.922,8255.772,6.4,
297146665,1834.967,8266.713,6.4,
